algorithm_name,env_n,size,success,states,time,seed,solution
BT,127,10,1,542,0.000445,3,"{0: 1, 1: 6, 2: 9, 3: 5, 4: 0, 5: 8, 6: 4, 7: 2, 8: 7, 9: 3}"
FC,128,10,1,38,0.003178,3,"{0: 1, 1: 6, 2: 9, 3: 5, 4: 0, 5: 8, 6: 4, 7: 2, 8: 7, 9: 3}"
BT,129,10,1,1486,0.001334,4,"{0: 8, 1: 3, 2: 5, 3: 7, 4: 1, 5: 6, 6: 0, 7: 2, 8: 4, 9: 9}"
FC,130,10,1,120,0.006998,4,"{0: 8, 1: 3, 2: 5, 3: 7, 4: 1, 5: 6, 6: 0, 7: 2, 8: 4, 9: 9}"
BT,131,10,1,447,0.000367,5,"{0: 2, 1: 4, 2: 6, 3: 9, 4: 3, 5: 5, 6: 0, 7: 8, 8: 1, 9: 7}"
FC,132,10,1,42,0.001579,5,"{0: 2, 1: 4, 2: 6, 3: 9, 4: 3, 5: 5, 6: 0, 7: 8, 8: 1, 9: 7}"
BT,133,10,1,242,0.000569,6,"{0: 5, 1: 7, 2: 2, 3: 0, 4: 8, 5: 6, 6: 9, 7: 3, 8: 1, 9: 4}"
FC,134,10,1,18,0.001716,6,"{0: 5, 1: 7, 2: 2, 3: 0, 4: 8, 5: 6, 6: 9, 7: 3, 8: 1, 9: 4}"
BT,135,10,1,66,0.000115,7,"{0: 8, 1: 1, 2: 3, 3: 7, 4: 0, 5: 2, 6: 5, 7: 9, 8: 6, 9: 4}"
FC,136,10,1,13,0.000535,7,"{0: 8, 1: 1, 2: 3, 3: 7, 4: 0, 5: 2, 6: 5, 7: 9, 8: 6, 9: 4}"
BT,137,10,1,138,0.000142,8,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 9, 5: 4, 6: 0, 7: 7, 8: 3, 9: 6}"
FC,138,10,1,14,0.001181,8,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 9, 5: 4, 6: 0, 7: 7, 8: 3, 9: 6}"
BT,139,10,1,29,0.000223,9,"{0: 9, 1: 2, 2: 4, 3: 7, 4: 1, 5: 8, 6: 6, 7: 0, 8: 3, 9: 5}"
FC,140,10,1,10,0.001431,9,"{0: 9, 1: 2, 2: 4, 3: 7, 4: 1, 5: 8, 6: 6, 7: 0, 8: 3, 9: 5}"
BT,141,10,1,180,0.000398,10,"{0: 5, 1: 1, 2: 9, 3: 6, 4: 8, 5: 2, 6: 0, 7: 3, 8: 7, 9: 4}"
FC,142,10,1,19,0.001751,10,"{0: 5, 1: 1, 2: 9, 3: 6, 4: 8, 5: 2, 6: 0, 7: 3, 8: 7, 9: 4}"
BT,143,10,1,511,0.000614,11,"{0: 2, 1: 4, 2: 1, 3: 7, 4: 9, 5: 6, 6: 3, 7: 0, 8: 8, 9: 5}"
FC,144,10,1,47,0.004363,11,"{0: 2, 1: 4, 2: 1, 3: 7, 4: 9, 5: 6, 6: 3, 7: 0, 8: 8, 9: 5}"
BT,145,10,1,1634,0.002196,12,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 3, 5: 5, 6: 0, 7: 9, 8: 4, 9: 6}"
FC,146,10,1,139,0.007991,12,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 3, 5: 5, 6: 0, 7: 9, 8: 4, 9: 6}"
BT,147,10,1,744,0.001055,13,"{0: 3, 1: 8, 2: 0, 3: 4, 4: 9, 5: 1, 6: 5, 7: 7, 8: 2, 9: 6}"
FC,148,10,1,61,0.004611,13,"{0: 3, 1: 8, 2: 0, 3: 4, 4: 9, 5: 1, 6: 5, 7: 7, 8: 2, 9: 6}"
BT,149,10,1,30,9.7e-05,14,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 1, 5: 8, 6: 5, 7: 0, 8: 4, 9: 7}"
FC,150,10,1,10,0.000485,14,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 1, 5: 8, 6: 5, 7: 0, 8: 4, 9: 7}"
BT,151,10,1,487,0.000388,15,"{0: 5, 1: 0, 2: 4, 3: 6, 4: 8, 5: 2, 6: 7, 7: 1, 8: 3, 9: 9}"
FC,152,10,1,36,0.001953,15,"{0: 5, 1: 0, 2: 4, 3: 6, 4: 8, 5: 2, 6: 7, 7: 1, 8: 3, 9: 9}"
BT,153,10,1,210,0.000262,16,"{0: 6, 1: 1, 2: 5, 3: 8, 4: 0, 5: 9, 6: 4, 7: 2, 8: 7, 9: 3}"
FC,154,10,1,22,0.000766,16,"{0: 6, 1: 1, 2: 5, 3: 8, 4: 0, 5: 9, 6: 4, 7: 2, 8: 7, 9: 3}"
BT,155,10,1,695,0.000912,17,"{0: 7, 1: 1, 2: 8, 3: 2, 4: 5, 5: 3, 6: 0, 7: 9, 8: 4, 9: 6}"
FC,156,10,1,56,0.004564,17,"{0: 7, 1: 1, 2: 8, 3: 2, 4: 5, 5: 3, 6: 0, 7: 9, 8: 4, 9: 6}"
BT,157,10,1,1484,0.001925,18,"{0: 0, 1: 8, 2: 4, 3: 9, 4: 7, 5: 3, 6: 1, 7: 6, 8: 2, 9: 5}"
FC,158,10,1,109,0.004844,18,"{0: 0, 1: 8, 2: 4, 3: 9, 4: 7, 5: 3, 6: 1, 7: 6, 8: 2, 9: 5}"
BT,159,10,1,1480,0.00193,19,"{0: 9, 1: 7, 2: 1, 3: 3, 4: 0, 5: 6, 6: 8, 7: 5, 8: 2, 9: 4}"
FC,160,10,1,122,0.004061,19,"{0: 9, 1: 7, 2: 1, 3: 3, 4: 0, 5: 6, 6: 8, 7: 5, 8: 2, 9: 4}"
BT,161,10,1,236,0.000193,20,"{0: 5, 1: 0, 2: 6, 3: 1, 4: 7, 5: 2, 6: 8, 7: 3, 8: 9, 9: 4}"
FC,162,10,1,24,0.001506,20,"{0: 5, 1: 0, 2: 6, 3: 1, 4: 7, 5: 2, 6: 8, 7: 3, 8: 9, 9: 4}"
BT,163,10,1,400,0.000571,21,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 9, 5: 1, 6: 5, 7: 2, 8: 8, 9: 3}"
FC,164,10,1,39,0.002154,21,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 9, 5: 1, 6: 5, 7: 2, 8: 8, 9: 3}"
BT,165,10,1,65,0.000122,22,"{0: 5, 1: 8, 2: 6, 3: 0, 4: 3, 5: 1, 6: 9, 7: 7, 8: 2, 9: 4}"
FC,166,10,1,11,0.000609,22,"{0: 5, 1: 8, 2: 6, 3: 0, 4: 3, 5: 1, 6: 9, 7: 7, 8: 2, 9: 4}"
BT,167,10,1,2194,0.002588,23,"{0: 7, 1: 9, 2: 4, 3: 1, 4: 5, 5: 0, 6: 2, 7: 6, 8: 8, 9: 3}"
